registry,registry_lab,graph_lab,CI5_continent,ethnic_group,selection
380028,"Italy, Sondrio (2008-2012)","Italy, Sondrio",5,99,1
380034,"Italy, South Tyrol (2008-2010)","Italy, South Tyrol",5,99,1
380029,"Italy, Syracuse (2008-2012)","Italy, Syracuse",5,99,1
380049,"Italy, Taranto (2008-2011)","Italy, Taranto",5,99,1
380019,"Italy, Trento (2008-2010)","Italy, Trento",5,99,1
380008,"Italy, Turin (2008-2012)","Italy, Turin",5,99,1
380014,"Italy, Umbria (2008-2011)","Italy, Umbria",5,99,1
380004,"Italy, Varese (2008-2012)","Italy, Varese",5,99,1
380013,"Italy, Veneto (2008-2010)","Italy, Veneto",5,99,1
428000,Latvia (2010-2012),Latvia,5,99,1
440000,Lithuania (2008-2012),Lithuania,5,99,1
470000,Malta (2008-2012),Malta,5,99,1
528000,The Netherlands (2008-2012),The Netherlands,5,99,1
578000,Norway (2008-2012),Norway,5,99,1
616007,"Poland, Kielce (2008-2012)","Poland, Kielce",5,99,1
616002,"Poland, Lower Silesia (2008-2012)","Poland, Lower Silesia",5,99,1
616011,"Poland, Lublin (2008-2012)","Poland, Lublin",5,99,1
616012,"Poland, Podkarpackie (2008-2012)","Poland, Podkarpackie",5,99,1
616010,Greater Poland (2008-2012),Greater Poland,5,99,1
620005,"Portugal, Azores (2008-2011)","Portugal, Azores",5,99,1
643006,"Russian Federation, Arkhangelsk (2008-2012)","Russian Federation, Arkhangelsk",5,99,1
643005,"Russian Federation, Chelyabinsk (2008-2012)","Russian Federation, Chelyabinsk",5,99,1
643003,"Russian Federation, Karelia (2008-2012)","Russian Federation, Karelia",5,99,1
643004,"Russian Federation, Samara (2008-2012)","Russian Federation, Samara",5,99,1
703000,Slovakia (2008-2010),Slovakia,5,99,1
705000,Slovenia (2008-2012),Slovenia,5,99,1
724009,"Spain, Albacete (2008-2010)","Spain, Albacete",5,99,1
724005,"Spain, Asturias (2008-2010)","Spain, Asturias",5,99,1
724006,"Spain, Basque Country (2008-2012)","Spain, Basque Country",5,99,1
724011,"Spain, Canary Islands (2008-2011)","Spain, Canary Islands",5,99,1
724015,"Spain, Castellón (2008-2012)","Spain, Castellón",5,99,1
724016,"Spain, Ciudad Real (2008-2011)","Spain, Ciudad Real",5,99,1
724013,"Spain, Cuenca (2008-2011)","Spain, Cuenca",5,99,1
724010,"Spain, Girona (2008-2012)","Spain, Girona",5,99,1
724002,"Spain, Granada (2008-2012)","Spain, Granada",5,99,1
724014,"Spain, La Rioja (2008-2012)","Spain, La Rioja",5,99,1
724008,"Spain, Mallorca (2008-2011)","Spain, Mallorca",5,99,1
724003,"Spain, Murcia (2008-2010)","Spain, Murcia",5,99,1
724004,"Spain, Navarra (2008-2010)","Spain, Navarra",5,99,1
724001,"Spain, Tarragona (2008-2012)","Spain, Tarragona",5,99,1
756012,"Switzerland, Fribourg (2008-2012)","Switzerland, Fribourg",5,99,1
756002,"Switzerland, Geneva (2008-2012)","Switzerland, Geneva",5,99,1
756011,"Switzerland, Graubünden and Glarus (2008-2012)","Switzerland, Graubünden and Glarus",5,99,1
756003,"Switzerland, Neuchâtel (2008-2012)","Switzerland, Neuchâtel",5,99,1
756004,"Switzerland, St Gall-Appenzell (2008-2012)","Switzerland, St Gall-Appenzell",5,99,1
756010,"Switzerland, Ticino (2008-2012)","Switzerland, Ticino",5,99,1
756008,"Switzerland, Valais (2008-2012)","Switzerland, Valais",5,99,1
756005,"Switzerland, Vaud (2008-2012)","Switzerland, Vaud",5,99,1
756006,"Switzerland, Zurich (2008-2012)","Switzerland, Zurich",5,99,1
804000,Ukraine (2008-2012),Ukraine,5,99,1
826000,United Kingdom (2008-2012),United Kingdom,5,99,1
826001,"UK, England (2008-2012)","UK, England",5,99,0
826011,"UK, England, East (2008-2012)","UK, England, East",5,99,0
826007,"UK, England, East Midlands (2008-2012)","UK, England, East Midlands",5,99,0
826015,"UK, England, London (2008-2012)","UK, England, London",5,99,0
826009,"UK, England, North East (2008-2012)","UK, England, North East",5,99,0
826003,"UK, England, North West (2008-2012)","UK, England, North West",5,99,0
826006,"UK, England, South West (2008-2012)","UK, England, South West",5,99,0
826004,"UK, England, South East (2008-2012)","UK, England, South East",5,99,0
826002,"UK, England, West Midlands (2008-2012)","UK, England, West Midlands",5,99,0
826010,"UK, England, Yorkshire and The Humber (2008-2012)","UK, England, Yorkshire and The Humber",5,99,0
826030,"UK, Northern Ireland (2008-2012)","UK, Northern Ireland",5,99,0
826020,"UK, Scotland (2008-2012)","UK, Scotland",5,99,0
826040,"UK, Wales (2008-2012)","UK, Wales",5,99,0
36000,Australia (2008-2012),Australia,6,99,1
36001,Australian Capital Territory (2008-2012),Australian Capital Territory,6,99,0
36002,"Australia, New South Wales (2008-2012)","Australia, New South Wales",6,99,0
36008,"Australia, Northern Territory (2008-2012)","Australia, Northern Territory",6,99,0
36008,"Australia, Northern Territory: Non-Indigenous (2008-2012)","Australia, Northern Territory: Non-Indigenous",6,63,0
36008,"Australia, Northern Territory: Indigenous (2008-2012)","Australia, Northern Territory: Indigenous",6,62,0
36003,"Australia, Queensland (2008-2012)","Australia, Queensland",6,99,0
36004,South Australia (2008-2012),South Australia,6,99,0
36005,"Australia, Tasmania (2008-2012)","Australia, Tasmania",6,99,0
36006,"Australia, Victoria (2008-2012)","Australia, Victoria",6,99,0
36007,Western Australia (2008-2012),Western Australia,6,99,0
250093,New Caledonia (2008-2011),New Caledonia,6,99,1
554000,New Zealand (2008-2012),New Zealand,6,99,1
554000,New Zealand: Maori (2008-2012),New Zealand: Maori,6,28,0
554000,New Zealand: Pacific Islander (2008-2012),New Zealand: Pacific Islander,6,29,0
840099,"USA, Hawaii (2008-2012)","USA, Hawaii",6,99,0
840099,"USA, Hawaii: White (2008-2012)","USA, Hawaii: White",6,10,0
840099,"USA, Hawaii: Japanese (2008-2012)","USA, Hawaii: Japanese",6,21,0
840099,"USA, Hawaii: Chinese (2008-2012)","USA, Hawaii: Chinese",6,20,0
840099,"USA, Hawaii: Hawaiian (2008-2012)","USA, Hawaii: Hawaiian",6,45,0
840099,"USA, Hawaii: Filipino (2008-2012)","USA, Hawaii: Filipino",6,23,0
840098,"USA, Pacific Islands (2008-2012)","USA, Pacific Islands",6,99,0
